link,Year,About,Event,Speaker,Organization,Category,Source of Summary,Summary,Topic 1,Sub-topic 1-1,Sub-topic 1-2,Sub-topic 1-3,Topic 2,Sub-topic 2-1,Sub-topic 2-2,Sub-topic 2-3
https://www.youtube.com/watch?v=GSJRszrffJI&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=9,2021,Event-based vision and processing for tiny drones,CVPR Workshop on Event-based Vision,Guido de Croon,TU Delft,Robotics applications,Paper,"Abstract: Event-based vision and processing hold an important promise for creating autonomous tiny drones. Both promise to be light weight and highly energy efficient, while allowing for high-speed perception and control. For tiny drones, these characteristics are essential, as they are extremely restricted in terms of size, weight and power, while at smaller scales drones become even more agile. In my talk, I present our work on developing event-based perception and control for tiny autonomous drones. I delve into the approach we followed for having spiking neural networks learn visual tasks such as optical flow estimation. Furthermore, I explain our ongoing effort to integrate these networks in autonomously flying drones.",,,,,,,,
https://www.youtube.com/watch?v=p5kjt0jsuNg&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=10,2021,Event-Based Computer Vision At Sony Advanced Visual Sensing,CVPR Workshop on Event-based Vision,Christian Brändli,Sony,Event-based systems,Paper,"Abstract: Sony Advanced Visual Sensing is a research center of Sony Semiconductor Solutions, the world leader in image sensors. With a long history in the field, Sony AVS works on event-based vision sensors (EVS) and computer vision algorithms. First, the talk will introduce some core principles of event-based processing which have been gathered over the years. The second part of the talk will then highlight some recent applications of event-based algorithms developed at Sony AVS.",,,,,,,,
https://www.youtube.com/watch?v=H2ofs_3rd0Q&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=11,2021,Routing Events in Two-Dimensional Arrays with a Tree,CVPR Workshop on Event-based Vision,Kwabena Boahen,Stanford,Circuit and chip design,Paper,"Abstract: These days, imagers are built by stacking two chips, one with photodetectors, the other with readout electronics. A through-silicon-via or flip-chip bond-pad delivers each signal from the two-dimensional (2D) array of pixels. This approach abandons feeding pixel signals to interface circuitry on the p periphery with one or two shared wires per row or column. Instead, pixels signals may be fed to the leaves of a tree, whose nodes are distributed throughout the readout chip. We present such a tree router, tailored to 2D arrays of pixels, or of small clusters of silicon neurons; each of its nodes has four daughters. Layout is fractal (H-tree); this uses less wiring per signal than a grid. Signaling is serial; this keeps link-width constant (regardless of payload size). To route from the tree's leaves to its root (or vise versa), each node prepends (consumes) a delay-insensitive 1-of-4 code that signals the route's previous (next) branch; additional codes carry payload (2 bits each). We deploy this serial H-tree router to service a 16×16 array of silicon-neuron clusters, each with 16 spike-generating analog somas, 4 spike-consuming analog synapses, and one 128-bit SRAM. Fabricated in a 28-nm CMOS process, the router communicates 26.8M soma-generated and 18.3M synapse-targeted spikes per second while occupying 43% of the client's 35.1×36.1sq-μm.",,,,,,,,
https://www.youtube.com/watch?v=mzwWI3DjMXI&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=12,2021,Towards Asynchronous SLAM with Event Cameras.,CVPR Workshop on Event-based Vision,Ignacio Alzugaray,ETH Zurich,Robotics applications,Paper,"Abstract: Event cameras present unique characteristics that make them especially suitable for robust robotic perception such as high temporal resolution, high dynamic range and low power consumption. These sensors, however, produce an asynchronous and sparse stream of events, making the direct application of traditional computer vision algorithms originally designed for frame-based cameras unfeasible. In this talk we will present an overview of the works developed at the Vision for Robotics Lab which are directed towards the development of an efficient and event-driven pipeline for visual SLAM that can fully exploit the asynchronicity and sparsity of the event stream.",,,,,,,,
https://www.youtube.com/watch?v=rSc8tvdjlhQ&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=13,2021,Learning Spatiotemporal Filters to Track Visual Saliency.,CVPR Workshop on Event-based Vision,Ralph Etienne-Cummings,Johns Hopkins University,Sensing,Paper,"Abstract: Uncovering the nuances behind visual saliency, or the tendency to gaze in a particular direction or toward a specific object, is critical in understanding what and why the human mind focuses on specific features in a field of vision. There are a wide variety of applications in which saliency would provide significant steps forward, such as: tele-tourism, high-accuracy drone cameras, live-data analysis for traffic, and criminal investigations. More specifically, visual saliency in the form of event-based information is particularly attractive because event-based data encodes information in a more compressed and power efficient manner. In this workshop, we discuss an unsupervised learning scheme to learn spatiotemporal filters that can identify and track salient features in an event-based data stream. We show how decision trees and threshold tracking can learn interesting features that are not easily discernable by the human eye, and further compare our findings to a ground-truth human-based saliency experiment with event-based data. We compare hand-crafted versus learned filters with that of the ground-truth human-based data and stress the need for the first event-based visual saliency ground-truth dataset.",,,,,,,,
https://www.youtube.com/watch?v=0mO55e-5_qs&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=14,2021,Hardware and Algorithm Co-design with Event Sensors.,CVPR Workshop on Event-based Vision,Oliver Cossairt,Northwestern Univ.,Generic introduction,Paper,"Abstract: In this talk I will provide an overview of our research developing hardware/software co-designs with event sensors, focusing on methods to fuse together information acquired from multiple sensing modalities for task-specific processing such as image reconstruction, object detection, and tracking. I will discuss three main thrusts of research, 1) extracting 3D information from event data using structured light, and inverse rendering, 2), fusing event sensor data together with conventional frame-based camera images, and 3) a feedback-driven, chip-host architecture built for lightweight on-camera processing equipped with novel data compression algorithms for high-bandwidth, task-specific chip/host communication. Finally, I will wrap up by briefly discussing our current work in-progress developing spiking-based neural network (SNN) algorithms to leverage similar co-design principles.",,,,,,,,
https://www.youtube.com/watch?v=BIvp86yFTYE&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=15,2021,Fusing Frame and Event data for High Dynamic Range Video,CVPR Workshop on Event-based Vision,Robert Mahony,Australian National University,Sensing,Paper,"Abstract: Event cameras produce data that is inherently high dynamic range and high temporal resolution but is not absolute, that is the actual intensity of a pixel is not directly available. Frame based cameras generate absolute intensity images but suffer from low dynamic range and are subject to low temporal image effects such as image blur. This talk discusses stochastic filtering algorithms for fusing these data sets to generate crisp high dynamic range images.",,,,,,,,
https://www.youtube.com/watch?v=0Zevb04mw3M&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=16,2021,Neuromorphic computing hardware and event based vision: a perfect match?,CVPR Workshop on Event-based Vision,Yulia Sandamirskaya,Intel,Generic introduction,Paper,"Abstract: I will provide an overview of spiking neuronal network based architecture for processing the event-based vision (EBV) output in neuromorphic hardware, highlighting examples of EBV workloads developed in Intel’s Neuromorphic Research Community.",,,,,,,,
https://www.youtube.com/watch?v=HiEkQO4PM0Y&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=17,2021,Neuromorphic vision for humanoid robots,CVPR Workshop on Event-based Vision,Chiara Bartolozzi,IIT,Robotics applications,Paper,"Abstract: Humanoid robots need to autonomously understand the world around them and be capable of planning appropriate and timely behaviour. Event-cameras can support the development of these capabilities, mostly thanks to their high temporal resolution, compressive encoding of visual data and high dynamic range. At the same time, new computational paradigms have to be devised to process the event-stream. These novel methods range from adapting ""traditional"" computer vision to run on events, to getting inspired from biological visual processing. In this presentation we will cover some examples of both approaches.",,,,,,,,
https://www.youtube.com/watch?v=eiIIhY7HeQM&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=18,2021,Back to Event Basics: Self-Supervised Learning of Image Reconstruction for Event Cameras via Photome,CVPR Workshop on Event-based Vision,F. Paredes-Vallés,TU Delft,Learning,Paper,"Reference: F. Paredes-Vallés and G. C. H. E. de Croon Back to Event Basics: Self-Supervised Learning of Image Reconstruction for Event Cameras via Photometric Constancy IEEE Conference on Computer Vision and Pattern Recognition, 2021. Project page: https://mavlab.tudelft.nl/ssl_e2v/ Code: https://mavlab.tudelft.nl/ssl_e2v/ Paper: https://arxiv.org/abs/2009.08283",,,,,,,,
https://www.youtube.com/watch?v=VzQ7b5-pLag&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=19,2021,v2e: From Video Frames to Realistic DVS Events,CVPR Workshop on Event-based Vision,Tobi Delbruck,INI Zurich,Software and tools,Paper,"Code: https://github.com/SensorsINI/v2e Paper: https://tub-rip.github.io/eventvision... Reference: Tobi Delbruck, Yuhuang Hu, Zhe He, v2e: From Video Frames to Realistic DVS Events,",,,,,,,,
https://www.youtube.com/watch?v=dVLyia-ezvo&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=20,2021,TimeLens: Event-based Video Frame Interpolation (CVPR 2021),CVPR Workshop on Event-based Vision,Stepan Tulyakov,INI Zurich,Software and tools,Paper,"Abstract: State-of-the-art frame interpolation methods generate intermediate frames by inferring object motions in the image from consecutive key-frames. In the absence of additional information, first-order approximations, i.e. optical flow, must be used, but this choice restricts the types of motions that can be modeled, leading to errors in highly dynamic scenarios. Event cameras are novel sensors that address this limitation by providing auxiliary visual information in the blind-time between frames. They asynchronously measure per-pixel brightness changes and do this with high temporal resolution and low latency. Event-based frame interpolation methods typically adopt a synthesis-based approach, where predicted frame residuals are directly applied to the key-frames. However, while these approaches can capture non-linear motions they suffer from ghosting and perform poorly in low-texture regions with few events. Thus, synthesis-based and flow-based approaches are complementary. In this work, we introduce Time Lens, a novel indicates equal contribution method that leverages the advantages of both. We extensively evaluate our method on three synthetic and two real benchmarks where we show an up to 5.21 dB improvement in terms of PSNR over state-of-the-art frame-based and event-based methods. Finally, we release a new large-scale dataset in highly dynamic scenarios, aimed at pushing the limits of existing methods.
",,,,,,,,
https://www.youtube.com/watch?v=S7ABoOMxytA&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=21,2021,Spatiotemporal registration for event-based visual odometry,CVPR Workshop on Event-based Vision,Daqi Liu,University of Adelaide,Sensing,ChatGPT,"The video is discussing a method for event-based visual odometry, which uses an event camera that detects intensity changes for every pixel on the image plane and generates an event when the difference is higher than a threshold. The method, called spatiotemporal registration (STR), utilizes a different philosophy from traditional methods, which warps all events in a batch to a reference time index with an initial guess motion parameter. STR splits the events into two sub-batches, warps events from the second batch to the first batch, and calculates the optimal motion parameter using SVD. The method is efficient, generates feature tracks, and is less affected by batch size. The video also compares STR with traditional methods and other algorithms for rotational-only visual odometry.",,,,,,,,
https://www.youtube.com/watch?v=KdpZkxjp02E&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=22,2021,0-MMS: Zero-Shot Multi-Motion Segmentation With A Monocular Event Camera,CVPR Workshop on Event-based Vision,C.M. Parameshwara,University of Maryland,Sensing,Paper,"Segmentation of moving objects in dynamic scenes is a key process in scene understanding for navigation tasks. Classical cameras suffer from motion blur in such scenarios rendering them effete. On the contrary, event cameras, because of their high temporal resolution and lack of motion blur, are tailor-made for this problem. We present an approach for monocular multi-motion segmentation, which combines bottom-up feature tracking and top-down motion compensation into a unified pipeline, which is the first of its kind to our knowledge. Using the events within a time-interval, our method segments the scene into multiple motions by splitting and merging. We further speed up our method by using the concept of motion propagation and cluster keyslices. The approach was successfully evaluated on both challenging real-world and synthetic scenarios from the EV-IMO, EED, and MOD datasets and outperformed the state-of-the-art detection rate by 12%, achieving a new state-of-the-art average detection rate of 81.06%, 94.2%, and 82.35% on the aforementioned datasets. To enable further research and systematic evaluation of multi-motion segmentation, we present and open-source a new dataset/benchmark called MOD++, which includes challenging sequences and extensive data stratification in-terms of camera and object motion, velocity magnitudes, direction, and rotational speeds.",,,,,,,,
https://www.youtube.com/watch?v=QB0W3ZF08QE&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=23,2021,EVPropNet: Detecting Drones by Finding Propellers For Mid-Air Landing and Following,CVPR Workshop on Event-based Vision,Nitin J. Sanket,University of Maryland,Robotics applications,Paper,"In this paper, we model the geometry of a propeller and use it to generate simulated events which are used to train a deep neural network called EVPropNet to detect propellers from the data of an event camera. EVPropNet directly transfers to the real world without any fine-tuning or retraining. We present two applications of our network: (a) tracking and following an unmarked drone and (b) landing on a near-hover drone. We successfully evaluate and demonstrate the proposed approach in many real-world experiments with different propeller shapes and sizes. Our network can detect propellers at a rate of 85.1% even when 60% of the propeller is occluded and can run at up to 35Hz on a 2W power budget. To our knowledge, this is the first deep learning-based solution for detecting propellers (to detect drones). Finally, our applications also show an impressive success rate of92% and 90% for the tracking and landing tasks respectively.",,,,,,,,
https://www.youtube.com/watch?v=MToCww2G14Y&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=24,2021,"Oculi SPU, Real-time Vision Intelligence at the Edge With Software-Defined Features",CVPR Workshop on Event-based Vision,Joe Malkian,Oculi,Neuromorphic platforms,Paper,"The technology presented in the video is a new architecture for artificial vision called the Oculi SPU (Sensing and Processing Unit), which is a complete vision solution on a single chip. The Oculi SPU is designed to deliver real-time vision intelligence at the edge with software-defined features, making it at least 30 times more efficient and significantly faster than existing alternatives. The Oculi SPU mimics the architecture of the human eye and brain, with parallel processing and a bi-directional link between the SPU and the outside world. The SPU also offers a lot of software-defined features and capabilities that can be tuned in real-time, making it the first practical silicon that closely mimics biology in terms of selectivity, parallel processing, and efficiency. The SPU is also sensor agnostic, meaning that it can work with a variety of sensors. Overall the Oculi SPU is seen as a new way to deliver bionic vision for machines.",,,,,,,,
https://www.youtube.com/watch?v=CoocgoUhxvU&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=25,2021,Image Reconstruction from Event Cameras using Laplacian-Prediction and Poisson Integration,CVPR Workshop on Event-based Vision,Hadar Cohen Duwek,The open university of israel,Event-based systems,Paper,"Event cameras are robust neuromorphic visual sensors, which communicate transients in luminance as events. Current paradigm for image reconstruction from event data relies on direct optimization of artificial Convolutional Neural Networks (CNNs). Here we proposed a two-phase neural network, which comprises a CNN, optimized for Laplacian prediction followed by a Spiking Neural Network (SNN) optimized for Poisson integration. By introducing Laplacian prediction into the pipeline, we provide image reconstruction with a network comprising only 200 parameters. We converted the CNN to SNN, providing a full neuromorphic implementation. We further optimized the network with Mish activation and a novel convoluted CNN design, proposing a hybrid of spiking and artificial neural network with < 100 parameters. Models were evaluated on both N-MNIST and N-Caltech101 datasets.",,,,,,,,
https://www.youtube.com/watch?v=Rrkwxp8J18c&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=26,2021,Detecting Stable Keypoints from Events through Image Gradient Prediction,CVPR Workshop on Event-based Vision,Philippe Chiberre,Prophesee,Event-based systems,Paper,"We present a method that detects stable keypoints from an event stream at high speed with a low memory footprint. Our key observation connects two points: It should be easier to reconstruct the image gradients rather than the image itself from the events, and the Harris corner detector, one of the most reliable keypoint detectors for short baseline regular images, depends on the image gradients, not the image. We therefore introduce a recurrent convolutional neural network to predict image gradients from events. As image gradients and events are correlated, this prediction task is relatively easy and we can keep this network very small. We train our network solely on synthetic data. Extracting Harris corners from these gradients is then very efficient. Moreover, in contrast to learned methods, we can change the hyperparameters of the detector without retraining. Our experiments confirm that predicting image gradients rather than images is much more efficient, and that our approach predicts stable corner points which are easier to track for a longer time compared to state-of-the-art event-based methods.",,,,,,,,
https://www.youtube.com/watch?v=O1ow7c_OlDQ&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=27,2021,Comparing Representations in Tracking for Event Camera-based SLAM,CVPR Workshop on Event-based Vision,J. Jiao,The Hong Kong University of Science and Technology,Event-based systems,ChatGPT,"In this video, the speaker, Jian Hojo, from the Hong Kong University of Science and Technology, discusses a comparison of different representations in tracking for event camera-based SLAM. The speaker explains that the first event camera only SLAM systems used three main programs: EKF-based tracking, depth estimation, and intensity map reconstruction. However, a real-time reconstruction requires a GPU. Hojo then explains that EBU is the first event camera-based SLAM system using a CPU, which employs plane-based methods for mapping and uses the event map for real-time tracking. Hojo then introduces a new method called ESV which proposed forward projection and nonlinear optimization using the spectrum timer constraints for stereo mapping and uses the time service map for tracking. Hojo presents results of the comparison of these two event representation, and an enhanced tracker by combining EM with TS with the degeneracy check. He hopes that this paper can indicate possible ways to improve the state of the art methods.",,,,,,,,
https://www.youtube.com/watch?v=dU2zv_Ggp7Y&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=28,2021,Differentiable Event Stream Simulator for Non-Rigid 3D Tracking,CVPR Workshop on Event-based Vision,Jalees Nehvi,Saarland University,Software and tools,Paper,"This paper introduces the first differentiable simulator of event streams, i.e., streams of asynchronous brightness change signals recorded by event cameras. Our differentiable simulator enables non-rigid 3D tracking of deformable objects (such as human hands, isometric surfaces and general watertight meshes) from event streams by leveraging an analysis-by-synthesis principle. So far, event-based tracking and reconstruction of non-rigid objects in 3D, like hands and body, has been either tackled using explicit event trajectories or large-scale datasets. In contrast, our method does not require any such processing or data, and can be readily applied to incoming event streams. We show the effectiveness of our approach for various types of non-rigid objects and compare to existing methods for non-rigid 3D tracking. In our experiments, the proposed energy-based formulations outperform competing RGB-based methods in terms of 3D errors. The source code and the new data are publicly available",,,,,,,,
https://www.youtube.com/watch?v=4wV0ejrcDo0&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=29,2021,DVS-OUTLAB: A Neuromorphic Event-Based Long Time Monitoring Dataset for Real-World Outdoor Scenarios,CVPR Workshop on Event-based Vision,Tobias Bolten,Hochschule Niederrhein University of Applied Sciences,Software and tools,Paper,"Neuromorphic vision sensors are biologically inspired devices which differ fundamentally from well known framebased sensors. Even though developments in this research area are increasing, applications that rely entirely on event cameras are still relatively rare. This becomes particularly clear when considering real outdoor scenarios apart from laboratory conditions. One obstacle to the development of event-based vision applications in this context may be the lack of labeled datasets for algorithm development and evaluation. Therefore we describe a recording setting of a DVS-based long time monitoring of an urban public area and provide labeled DVS data that also contain effects of environmental outdoor influences recorded in this process. We also describe the processing chain used for label generation, as well as results from a performed denoising benchmark utilizing various spatio-temporal event stream filters. The dataset contains almost 7 hours of real world outdoor event-data with ≈47k labeled regions of interest and can be downloaded at http://dnt.kr.hsnr.de/ DVS-OUTLAB/",,,,,,,,
https://www.youtube.com/watch?v=IOZl8MxrfpQ&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=30,2021,N-ROD: a Neuromorphic Dataset for ​Synthetic-to-Real Domain Adaptation,CVPR Workshop on Event-based Vision,M. Cannici,IIT,Software and tools,Paper,"Event cameras are novel neuromorphic sensors, which asynchronously capture pixel-level intensity changes in the form of “events”. Event simulation from existing RGB datasets is commonly used to overcome the need of large amount of annotated data, which lacks due to the novelty of the event sensors. In this context, the possibility of using event simulation in synthetic scenarios, where data generation is not limited to pre-existing datasets, is to date still unexplored. In this work, we analyze the synth-to-real domain shift in event data, i.e., the gap arising between simulated events obtained from synthetic renderings and those captured with a real camera on real images. To this purpose, we extend to the event modality the popular RGB-D Object Dataset (ROD), which already comes with its synthetic version (SynROD). The resulting Neuromorphic ROD dataset (N-ROD) is the first to enable a synth-to-real analysis on event data, showing the effectiveness of Domain Adaptation techniques in reducing the synth-to-real shift. Moreover, through extensive experiments on multi-modal RGBE data, we show that events can be effectively combined with conventional visual information, encouraging further research in this area. The N-ROD dataset is available at https://N-ROD-dataset.github.io/home/.",,,,,,,,
https://www.youtube.com/watch?v=hrfsDOL18pw&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=31,2021,EFI-Net: Video Frame Interpolation from Fusion of Events and Frames,CVPR Workshop on Event-based Vision,Genady Paikin,Samsung,Sensing,Paper,"Event cameras are sensors with pixels that respond independently and asynchronously to changes in scene illumination. Event cameras have a number of advantages when compared to conventional cameras: low-latency, high temporal resolution, high dynamic range, low power and sparse data output. However, existing event cameras also suffer from comparatively low spatial resolution and are sensitive to noise. Recently, it has been shown that it is possible to reconstruct an intensity frame stream from an event stream. These reconstructions preserve the high temporal rate of the event stream, but tend to suffer from significant artifacts and low image quality due to the shortcomings of event cameras. In this work we demonstrate that it is possible to combine the best of both worlds, by fusing a color frame stream at low temporal resolution and high spatial resolution with an event stream at high temporal resolution and low spatial resolution to generate a video stream with both high temporal and spatial resolutions while preserving the original color information. We utilize a novel event frame interpolation network (EFI-Net), a multi-phase convolutional neural network which fuses the frame and event streams. EFI-Net is trained using only simulated data and generalizes exceptionally well to real-world experimental data. We show that our method is able to interpolate frames where traditional video interpolation approaches fail, while also outperforming event-only reconstructions. We further contribute a new dataset, containing event camera data synchronized with high speed video. This work opens the door to a new application for event cameras, enabling high fidelity fusion with frame based image streams for generation of high-quality high-speed video. The dataset is available at https://drive.google.com/file/d/ 1UIGVBqNER_5KguYPAu5y7TVg-JlNhz3-/view? usp=sharing",,,,,,,,
https://www.youtube.com/watch?v=KyS_h8i9HpM&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=32,2021,A Cortically-inspired Architecture for Event-based Visual Motion Processing,CVPR Workshop on Event-based Vision,Francesca Peveri,Università degli Studi di Genova,Neuromorphic-compatible algorithms,Paper,"We developed and tested the architecture of a bioinspired Spiking Neural Network for motion estimation. The computation performed by the retina is emulated by the neuromorphic event-based image sensor DAVIS346 which constitutes the input of our network. We obtained neurons highly tuned to spatial frequency and orientation of the stimulus through a combination of feed-forward excitatory connections modeled as an elongated Gaussian kernel and recurrent inhibitory connections from two clusters of neurons within the same cortical layers. Sums over adjacent nodes weighted by time-variable synapses are used to attain Gabor-like spatio-temporal V1 receptive fields with selectivity to the stimulus’ motion. In order to gain the invariance to the stimulus phase, the two polarities of the events provided by the neuromorphic sensor were exploited, which allowed us to build two pairs of quadrature filters from which we obtain Motion Energy detectors as described in . Finally, a decoding stage allows us to compute optic flow from the Motion Detector layers. We tested the approach proposed with both synthetic and natural stimuli.",,,,,,,,
https://www.youtube.com/watch?v=TL567P70L68&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=33,2021,"Spike timing-based unsupervised learning of orientation, disparity, and motion representations SNN",CVPR Workshop on Event-based Vision,Thomas Barbier,CNRS,Learning,Paper,"Neuromorphic vision sensors present unique advantages over their frame based counterparts. However, unsupervised learning of efficient visual representations from their asynchronous output is still a challenge, requiring a rethinking of traditional image and video processing methods. Here we present a network of leaky integrate and fire neurons that learns representations similar to those of simple and complex cells in the primary visual cortex of mammals from the input of two event-based vision sensors. Through the combination of spike timing-dependent plasticity and homeostatic mechanisms, the network learns visual feature detectors for orientation, disparity, and motion in a fully unsupervised fashion. We validate our approach on a mobile robotic platform.",,,,,,,,
https://www.youtube.com/watch?v=nwWh3MKdOEM&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=34,2021,Lifting Monocular Events to 3D Human Poses,CVPR Workshop on Event-based Vision,Gianluca Scarpellini,IIT,Neuromorphic-compatible algorithms,Paper,"This paper presents a novel 3D human pose estimation approach using a single stream of asynchronous events as input. Most of the state-of-the-art approaches solve this task with RGB cameras, which suffer when the subjects are moving fast. On the other hand, event-based 3D pose estimation benefits from the advantages of event-cameras, especially their efficiency and robustness to appearance changes. Yet, finding human poses in asynchronous events is in general more challenging than standard RGB pose estimation, since little or no events are triggered in static scenes. Here we propose the first learning-based method for 3D human pose from a single stream of events. Our method consists of two steps. First, we process the event-camera stream to predict three orthogonal heatmaps per joint; each heatmap is the projection of of the joint onto one orthogonal plane. Next, we fuse the sets of heatmaps to estimate 3D localisation of the body joints. As a further contribution, we make available a new, challenging dataset for event-based human pose estimation by simulating events from the RGB Human3.6m dataset. Experiments demonstrate that our method achieves solid accuracy, narrowing the performance gap between standard RGB and event-based vision. The code is released at https://iit-pavis. github.io/lifting_events_to_3d_hpe.",,,,,,,,
https://www.youtube.com/watch?v=UFwgNsT-IVI&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=35,2021,11 -Feedback control of event cameras - 3 minute teaser,CVPR Workshop on Event-based Vision,Tobi Delbruck,INI Zurich,Sensing,Paper,"Dynamic vision sensor event cameras produce a variable data rate stream of brightness change events. Event production at the pixel level is controlled by threshold, bandwidth, and refractory period bias current parameter settings. Biases must be adjusted to match application requirements and the optimal settings depend on many factors. As a first step towards automatic control of biases, this paper proposes fixed-step feedback controllers that use measurements of event rate and noise. The controllers regulate the event rate within an acceptable range using threshold and refractory period control, and regulate noise using bandwidth control. Experiments demonstrate model validity and feedback control.",,,,,,,,
